NAME	Sample	GBMType	CellAssignment	CrossSection	GenesExpressed	GeneticSubclone	MESlike2	MESlike1	AClike	OPClike	NPClike1	NPClike2	G1S	G2M
TYPE	group	group	group	group	numeric	group	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
MGH100-P5-A01	MGH100	Adult	Malignant	none	7403	MGH100_3	-0.235210691098538	0.292177011540687	2.23440649321884	0.410103488627058	-0.531071223619069	-0.843401360119488	-0.971652712104557	-0.308114431198222
MGH100-P5-A03	MGH100	Adult	Malignant	none	8861	NA	-0.646138155879352	-1.2536486798915	-0.64760798179912	0.888222499315863	0.812496082965807	-0.188600125483229	3.60410116983304	1.57137909559806
MGH100-P5-A04	MGH100	Adult	Malignant	none	5957	NA	2.25733451152936	-0.0739986658631031	-1.14362729808451	-1.46534492178769	-1.72048930991396	-0.859114889056499	-0.339476972724265	-0.322819823094577
MGH100-P5-A06	MGH100	Adult	Malignant	none	7320	MGH100_1	-0.557506241077064	-0.548720861252219	-0.799967504037717	0.448709834275037	0.418595604810981	-0.14320178100221	3.04242309618124	0.881796036949653
MGH100-P5-A07	MGH100	Adult	Malignant	none	6513	MGH100_3	0.506108672250265	0.299333647510028	-0.384538268905799	-0.966396327588325	-1.20357760907204	-0.379411617093523	-1.00838419497562	-0.341582480702589
MGH100-P5-A08	MGH100	Adult	Malignant	none	7886	MGH100_1	-0.821548787425602	-0.669993148649621	-0.727191606974573	0.303383361792891	0.401212432574468	0.159247322958248	1.92949885674025	4.53455590182852
MGH100-P5-A09	MGH100	Adult	Malignant	none	7291	MGH100_1	-0.372675795292813	-0.670751020786967	-0.493135259219608	0.0646489097156869	0.0687038104506322	-0.412382181344777	2.29911016754129	0.234434095918776
MGH100-P5-A10	MGH100	Adult	Malignant	none	4972	MGH100_3	3.15204823464809	-0.0766231733117686	-2.05281633322202	-1.65393850143402	-1.9144263007293	-1.05693253275422	-0.240855571793487	-0.552046487667011
MGH100-P5-A12	MGH100	Adult	Malignant	none	7041	MGH100_1	-0.613632976150209	-0.621992027291579	-0.903343504755272	-0.349940398731394	0.499716633611026	0.116781515167341	3.21224509654147	1.54877362375142
MGH100-P5-B02	MGH100	Adult	Malignant	none	7677	MGH100_1	-0.630459789601744	-0.788145974370292	0.0703539337274889	0.814699799177493	0.885522986461255	-0.186519441221108	0.280247786623045	-0.0850569928245091
MGH100-P5-B07	MGH100	Adult	Malignant	none	7814	MGH100_1	0.617010099159215	0.525388978333661	0.282606377750643	-0.766611942979363	-0.470796670123805	-0.369455682387216	0.389980338720234	2.71832898139412
MGH100-P5-B08	MGH100	Adult	Malignant	none	6965	MGH100_4	-0.900844203945577	-1.42405260346192	-1.0549592497971	1.43842214544428	2.85168001324855	0.421261957787154	-0.709795091649121	-0.306415273551717
MGH100-P5-B09	MGH100	Adult	Malignant	none	6224	MGH100_2	1.89735919354886	-0.523086284787554	-1.62295345670784	-2.07983613115083	-2.32852305403462	-1.60328047621363	-0.166853842488235	-0.856986015340054
MGH100-P5-B10	MGH100	Adult	Malignant	none	7248	NA	-0.168880038020939	0.930679568143047	2.82281741479328	-0.370607236553608	-1.08469962537472	-0.776554630187249	-0.663999056907569	-0.464200029828126
MGH100-P5-C03	MGH100	Adult	Malignant	none	8215	MGH100_3	-0.288815654033473	0.381063381318356	1.30664299348681	-0.613200843366065	-0.88118333573786	-0.593428714102173	1.96223945058344	1.19740192954746
MGH100-P5-C04	MGH100	Adult	Malignant	none	8957	MGH100_1	-1.08520836806046	-1.09198034366256	-1.06411273622977	0.419501412159021	0.903109891013703	0.234431836868488	1.31588376692488	4.82940498123619
MGH100-P5-C06	MGH100	Adult	Malignant	none	7369	MGH100_2	0.241554736313977	0.732576891153287	2.40408448442995	-0.490456934869696	-1.36050997622865	-0.957228006221425	-0.851852692722952	-0.665792413104205
MGH100-P5-C08	MGH100	Adult	Malignant	none	3765	NA	-0.307283624443548	-0.462202572233083	0.341430501952863	0.926145107400689	1.64910170406042	-0.0369337061432891	0.322335277298675	-0.0805736955182061
MGH100-P5-C10	MGH100	Adult	Malignant	none	7090	MGH100_2	1.92873622264732	1.645391702894	0.944957222014601	-0.847220291401653	-1.68543968639116	-0.768718599871596	-0.884113500164937	-0.196398481562612
MGH100-P5-D01	MGH100	Adult	Malignant	none	8740	MGH100_4	-0.24021257926481	-0.624384992185547	-0.813482240216577	0.653600438502672	0.338192352095985	0.0751846521530475	2.26468863766594	0.456305337719825
MGH100-P5-D03	MGH100	Adult	Malignant	none	6683	MGH100_1	0.241104131911664	0.625038677198847	2.25369021289129	-0.231734177887573	-1.16523441507153	-0.834139039046488	-0.867224601398964	-0.571504966037808
MGH100-P5-D04	MGH100	Adult	Malignant	none	8505	MGH100_2	-0.288284288192349	0.514521511988077	2.44967054557819	-0.133130562935456	-0.958287349592345	-0.679195035827963	-0.957583026121408	-0.548615598101785
MGH100-P5-D07	MGH100	Adult	Malignant	none	8165	MGH100_2	-0.105647588016815	0.101224963602712	1.65667527132639	0.591809805679493	0.0406337824149798	-0.798132778874428	-0.781499464403858	-0.618742537429005
MGH100-P5-D09	MGH100	Adult	Malignant	none	6943	MGH100_3	-0.56580979389813	0.718779706759262	1.51587710648372	-0.0613812776885281	-0.206265846568829	-0.339409422985536	-0.965456522792563	-0.401511471421342
MGH100-P5-E01	MGH100	Adult	Malignant	none	7453	MGH100_2	-0.223300827631192	-0.0937799685188015	0.870856073133474	-0.495002269952448	-0.935179774269986	-0.840221139776203	0.580336312694688	3.42119140468744
