NAME	X	Y
TYPE	numeric	numeric
MGH66-P08-H02	0.486872742221801	-0.609165952784187
MGH66-P07-C11	-0.91770501187587	-0.96876592013123
MGH66-P04-A01	-0.625322881716173	0.984189964189426
MGH66-P08-H10	-0.436381508046808	-0.866576070253559
MGH66-P08-E11	-0.646742647187236	-1.57148885003934
MGH66-P08-D06	-0.80070447472625	-0.711503557804056
MGH66-P04-B05	-0.584361999397582	-0.986615522935955
MGH66-P08-C02	0.533723146231307	-0.81877876687716
MGH66-P06-G01	-0.86887820737236	-1.41611404675416
MGH66-P08-E02	-0.54806046060638	-1.7279298653815
MGH66-P06-A01	1.30265173547865	-2.08865778873472
MGH66-P03-D01	0.0344409941213817	-1.2158025033674
MGH66-P03-E01	-0.509892429081116	-1.19449150027753
MGH66-P08-G03	-0.394424008716595	-1.29500856043129
MGH66-P04-E01	1.54244338860389	-2.30331912537458
MGH66-P05-H07	-0.514472880823457	-1.85966933637273
MGH66-P08-H01	-1.37615299829282	-1.79489042587001
MGH66-P07-G11	-0.618897967248712	-1.65873181006262
MGH66-P04-H11	1.71404246572585	1.66542219865919
MGH66-P07-E07	0.546206571187838	-1.65758212622337
MGH66-P07-A04	0.820059818213785	1.36433229896679
MGH66-P08-G11	-1.02930744410039	-1.59538582747567
MGH66-P08-F11	-1.61221932360294	-1.532778138
MGH66-P04-D11	-0.499443990506732	-0.925518233491017
MGH66-P04-E05	-0.803927122680049	-1.30724526285283
MGH66-P06-A12	-1.23595578538064	-1.26273250166758
MGH66-P08-G06	-0.423517335157948	-1.78321063145095
MGH66-P04-B01	-1.0743859503916	-1.75956105279361
MGH66-P08-C11	0.155226581769301	-1.79002049795
MGH66-P04-D10	1.21227181777676	-1.28643958282573
MGH66-P04-G02	0.438233857830942	-1.51239171368488
MGH66-P08-D02	-0.771073353785311	-1.24349038533281
MGH66-P03-A04	-0.488297342918845	-1.09754621423813
MGH66-P05-C07	-0.0594708171668573	1.44945443799605
MGH66-P04-G04	-0.68975112066459	2.09750956984264
MGH66-P04-A03	0.322617517512589	-1.48878449083005
MGH66-P05-A01	0.460364206557253	0.27003190169198
MGH66-P03-A06	-0.859191962049846	-1.79930182501016
MGH66-P07-D03	-1.0210171878723	-1.66515987948206
MGH66-P05-C08	0.922015299774358	-1.83964566366166
MGH66-P08-B03	2.42675849158464	-2.38303457813829
MGH66-P05-H01	2.09772379958007	-1.7235207774003
MGH66-P03-H12	-1.02077031623045	-1.78930777847392
MGH66-P06-E11	1.49863620491413	-2.13250006117915
MGH66-P05-G11	-1.41370320516783	-1.66125334922951
MGH66-P06-D05	-1.36435726876216	-0.989081142200182
MGH66-P07-B01	-1.37401082796238	-1.39920867986767
MGH66-P05-B12	-1.24380472356557	-1.62938578627477
MGH66-P04-B04	-1.16613632567921	-1.35240849962632
MGH66-P07-A05	-1.74194016237388	-1.3079851380508
MGH66-P07-B06	-1.58318750321209	-2.00948740679602
MGH66-P07-D01	-1.72958324945567	-1.7670885359696
MGH66-P03-F09	-1.19383665210325	-1.58101251893823
MGH66-P08-D11	-1.14185662705785	-1.01483937812158
MGH66-P06-B02	-0.58586614276319	-1.13675322819602
MGH66-P08-A02	-0.644349426601598	-1.60931805283751
MGH66-P05-B06	-0.0206212784776904	-1.06498298691512
MGH66-P08-A04	0.396485515941045	-1.6823818273712
MGH66-P03-C10	-0.667664692171942	-1.57291265546392
MGH66-P07-F07	-1.16972765709656	-1.15647687305536
MGH66-P06-A09	2.58130917952908	-2.355882069423
MGH66-P07-H07	-0.534836252997406	-1.60157301457098
MGH66-P08-E12	0.793097713246739	-1.13156022826103
MGH66-P07-H04	-0.218831134608545	-0.757234837174447
MGH66-P06-B01	0.944616366030881	1.33049751338528
MGH66-P05-C12	1.48976186972424	1.41682253075177
MGH66-P03-B09	0.442162102127833	1.41476973771885
MGH66-P05-A05	-1.28064696918009	-1.85067737044724
MGH66-P03-G07	-0.776614422156692	-1.50527065173423
MGH66-P05-F01	-0.811355420563375	-1.71556059536665
MGH66-P05-E03	0.21581894601838	-1.42713026361673
MGH66-P06-E07	-1.19594255506334	-1.45136595227401
MGH66-P07-C07	1.13683183322191	1.49557168215081
MGH66-P03-C03	1.87059367885145	-2.13443326473093
MGH66-P06-D11	0.550331063582329	-1.70985629961307
MGH66-P03-E03	-0.0658709747789119	-1.25687764830386
MGH66-P05-C10	-0.490660835024708	-1.13298550600698
MGH66-P04-G08	-0.255919030066333	-1.31789197495057
MGH66-P08-F02	1.51562024656635	1.21349562129865
MGH66-P04-B12	1.78201968765764	-2.29753709825293
MGH66-P03-D04	-1.31748105279489	-1.26257609237945
MGH66-P03-F05	-1.52956938564981	-1.71660404883074
MGH66-P08-A07	-1.35981155478756	-1.46160476346141
MGH66-P04-E09	1.83763606953166	1.52928531607354
MGH66-P04-A10	1.73770805314369	1.15332647790567
MGH66-P07-B05	-0.802320697152113	-1.04062140221559
MGH66-P03-E06	1.13569674348605	-1.18870678746322
MGH66-P04-A05	-0.0289453802610662	-1.56284466807173
MGH66-P04-D12	1.29474169387293	1.31242512278949
MGH66-P05-C04	0.0420900149710925	-1.16085352090307
MGH66-P07-D02	1.51052564160903	1.45080015382294
MGH66-P06-B07	0.0280909541281356	-0.537019995421991
MGH66-P07-E04	1.732077945802	1.36007734469225
MGH66-P03-B05	0.346757685852951	-1.84100693204366
MGH66-P04-G01	-0.819008467278591	-1.64409724148615
MGH66-P03-H05	1.87443201723344	-1.96435819262369
MGH66-P04-G03	-0.285186190190631	-1.27714322878678
